Winner,Final Score Away,Final Score Home,Final Score Difference,Half Score Away,Half Score Home,Half Score Difference,Away FGA,Home FGA,Away FG,Home FG,Away 3PT,Home 3PT,Away EFG,Home EFG,Away Pos,Home Pos,Away TO,Home TO,Away TPP,Home TPP,Away OR,Home OR,Away DR,Home DR,Away ORP,Home ORP,Away DRP,Home DRP,Away DTPP,Home DTPP
Away,124,122,2,53,60,-7,49,45,20,23,4,5,0.4489795918367347,0.5666666666666667,46,44,4,8,0.0869565217391304,0.1818181818181818,10,8,15,21,0.3448275862068966,0.3636363636363636,0.6818181818181818,0.7241379310344828,0.1739130434782608,0.0909090909090909
Away,120,100,20,65,44,21,50,45,24,16,13,6,0.61,0.4222222222222222,46,47,4,3,0.0869565217391304,0.0638297872340425,8,5,27,20,0.3076923076923077,0.1724137931034483,0.9310344827586208,0.7692307692307693,0.0652173913043478,0.0851063829787234
Home,102,106,-4,45,53,-8,47,39,15,20,5,6,0.3723404255319149,0.5897435897435898,50,48,6,13,0.12,0.2708333333333333,7,4,18,28,0.21875,0.2105263157894736,0.9473684210526316,0.875,0.26,0.125
Home,98,111,-13,53,66,-13,38,41,17,23,5,13,0.5131578947368421,0.7195121951219512,44,39,10,7,0.2272727272727272,0.1794871794871795,11,4,14,13,0.5238095238095238,0.2222222222222222,0.7777777777777778,0.6190476190476191,0.1590909090909091,0.2564102564102564
Home,99,138,-39,56,66,-10,52,48,18,24,8,9,0.4230769230769231,0.59375,50,47,3,7,0.06,0.1489361702127659,10,10,21,27,0.2941176470588235,0.4166666666666667,0.875,0.7941176470588235,0.14,0.0638297872340425
Away,123,95,28,51,54,-3,38,52,16,22,6,6,0.5,0.4807692307692308,47,43,12,10,0.2553191489361702,0.2325581395348837,9,17,16,17,0.4090909090909091,0.5666666666666667,0.5333333333333333,0.7727272727272727,0.2127659574468085,0.2790697674418604
Home,115,138,-23,57,69,-12,40,44,19,27,6,9,0.55,0.7159090909090909,48,45,6,11,0.125,0.2444444444444444,3,8,12,21,0.1428571428571428,0.4705882352941176,0.7058823529411765,1.0,0.2291666666666666,0.1333333333333333
Away,121,108,13,72,55,17,39,34,21,17,12,4,0.6923076923076923,0.5588235294117647,40,41,11,9,0.275,0.2195121951219512,12,5,17,10,0.6666666666666666,0.2941176470588235,1.0,0.5555555555555556,0.225,0.2682926829268293
Away,122,112,10,58,56,2,48,46,21,19,6,5,0.5,0.4673913043478261,45,49,6,7,0.1333333333333333,0.1428571428571428,5,10,21,22,0.1851851851851851,0.3703703703703703,0.7777777777777778,0.8148148148148148,0.1555555555555555,0.1224489795918367
Away,109,107,2,57,59,-2,45,42,22,21,2,5,0.5111111111111111,0.5595238095238095,45,44,5,7,0.1111111111111111,0.1590909090909091,6,6,20,17,0.2608695652173913,0.2857142857142857,0.9523809523809524,0.7391304347826086,0.1555555555555555,0.1136363636363636
Away,128,119,9,59,53,6,46,44,24,17,5,9,0.5760869565217391,0.4886363636363636,46,50,7,8,0.1521739130434782,0.16,4,9,23,21,0.1818181818181818,0.3333333333333333,0.8518518518518519,0.9545454545454546,0.1739130434782608,0.14
Away,130,120,10,63,59,4,46,43,22,20,5,9,0.532608695652174,0.5697674418604651,49,48,9,11,0.1836734693877551,0.2291666666666666,7,7,22,20,0.2916666666666667,0.3043478260869565,0.9565217391304348,0.8333333333333334,0.2244897959183673,0.1875
